Date,State,tot_cases,new_cases
2021-06-10,AL,"546,829","2,241"
2021-06-17,AL,"548,305","1,476"
2021-06-24,AL,"549,396","1,091"
2021-07-01,AL,"550,979","1,583"
2021-07-08,AL,"552,911","1,932"
2021-07-15,AL,"556,613","3,702"
2021-07-22,AL,"563,944","7,331"
2021-07-29,AL,"577,463","13,519"
2021-08-05,AL,"595,816","18,353"
2021-08-12,AL,"619,752","23,936"
2021-08-19,AL,"645,851","26,099"
2021-08-26,AL,"665,653","19,802"
2021-09-02,AL,"704,420","38,767"
2021-09-09,AL,"732,154","27,734"
2021-09-16,AL,"757,893","25,739"
2021-09-23,AL,"778,549","20,656"
2021-09-30,AL,"794,773","16,224"
2021-10-07,AL,"804,251","9,478"
2021-10-14,AL,"810,500","6,249"
2021-10-21,AL,"815,998","5,498"
2021-10-28,AL,"828,643","12,645"
2021-11-04,AL,"833,481","4,838"
2021-11-11,AL,"837,339","3,858"
2021-11-18,AL,"840,934","3,595"
2021-11-25,AL,"844,206","3,272"
2021-12-02,AL,"846,306","2,100"
2021-12-09,AL,"850,098","3,792"
2021-12-16,AL,"854,884","4,786"
2021-12-23,AL,"861,110","6,226"
2021-12-30,AL,"880,307","19,197"
2022-01-06,AL,"932,250","51,943"
2022-01-13,AL,"1,004,622","72,372"
2022-01-20,AL,"1,088,370","83,748"
2022-01-27,AL,"1,161,930","73,560"
2022-02-03,AL,"1,229,300","67,370"
2022-02-10,AL,"1,254,032","24,732"
2022-02-17,AL,"1,267,908","13,876"
2022-02-24,AL,"1,275,357","7,449"
2022-03-03,AL,"1,281,606","6,249"
2022-03-10,AL,"1,287,823","6,217"
2022-03-17,AL,"1,290,138","2,315"
2022-03-24,AL,"1,291,927","1,789"
2022-03-31,AL,"1,295,015","3,088"
2022-04-07,AL,"1,296,286","1,271"
2022-04-14,AL,"1,297,392","1,106"
2022-04-21,AL,"1,298,637","1,245"
2022-04-28,AL,"1,300,274","1,637"
2022-05-05,AL,"1,301,804","1,530"
2022-05-12,AL,"1,303,827","2,023"
2022-05-19,AL,"1,306,662","2,835"
2022-05-26,AL,"1,310,521","3,859"
2022-06-02,AL,"1,315,934","5,413"
2022-06-09,AL,"1,322,957","7,023"
2022-06-16,AL,"1,331,452","8,495"
2022-06-23,AL,"1,342,150","10,698"
2022-06-30,AL,"1,355,340","13,190"
2022-07-07,AL,"1,367,570","12,230"
2022-07-14,AL,"1,384,836","17,266"
2022-07-21,AL,"1,401,893","17,057"
2022-07-28,AL,"1,419,075","17,182"
2022-08-04,AL,"1,424,411","5,336"
2022-08-11,AL,"1,436,458","12,047"
2022-08-18,AL,"1,449,812","13,354"
2022-08-25,AL,"1,463,933","14,121"
2022-09-01,AL,"1,479,605","15,672"
2022-09-08,AL,"1,494,300","14,695"
2022-09-15,AL,"1,504,180","9,880"
2022-09-22,AL,"1,512,134","7,954"
2022-09-29,AL,"1,517,904","5,770"
2022-10-06,AL,"1,522,135","4,231"
2022-10-13,AL,"1,525,724","3,589"
2022-10-20,AL,"1,528,739","3,015"
2022-10-27,AL,"1,531,305","2,566"
2022-11-03,AL,"1,534,287","2,982"
2022-11-10,AL,"1,540,329","6,042"
2022-11-17,AL,"1,542,227","1,898"
2020-01-23,AR,0,0
2020-01-30,AR,0,0
2020-02-06,AR,0,0
2020-02-13,AR,0,0
2020-02-20,AR,0,0
2020-02-27,AR,0,0
2020-03-05,AR,0,0
2020-03-12,AR,5,5
2020-03-19,AR,55,50
2020-03-26,AR,353,298
2020-04-02,AR,683,330
2020-04-09,AR,"1,154",471
2020-04-16,AR,"1,715",561
2020-04-23,AR,"2,640",925
2020-04-30,AR,"3,217",577
2020-05-07,AR,"3,790",573
2020-05-14,AR,"4,360",570
2020-05-21,AR,"5,411","1,051"
2020-05-28,AR,"6,513","1,102"
2020-06-04,AR,"8,451","1,938"
2020-06-11,AR,"10,972","2,521"
2020-06-18,AR,"14,432","3,460"
2020-06-25,AR,"18,618","4,186"
2020-07-02,AR,"22,815","4,197"
2020-07-09,AR,"26,905","4,090"
2020-07-16,AR,"32,111","5,206"
2020-07-23,AR,"37,169","5,058"
2020-07-30,AR,"42,456","5,287"
2020-08-06,AR,"47,532","5,076"
2020-08-13,AR,"52,140","4,608"
2020-08-20,AR,"56,356","4,216"
2020-08-27,AR,"60,157","3,801"
2020-09-03,AR,"64,647","4,490"
2020-09-10,AR,"69,292","4,645"
2020-09-17,AR,"74,371","5,079"
2020-09-24,AR,"79,703","5,332"
2020-10-01,AR,"84,694","4,991"
2020-10-08,AR,"90,101","5,407"
2020-10-15,AR,"96,581","6,480"
2020-10-22,AR,"102,864","6,283"
2020-10-29,AR,"109,852","6,988"
2020-11-05,AR,"117,899","8,047"
2020-11-12,AR,"130,028","12,129"
2020-11-19,AR,"142,350","12,322"
2020-11-26,AR,"155,475","13,125"
2020-12-03,AR,"167,577","12,102"
2020-12-10,AR,"182,184","14,607"
2020-12-17,AR,"197,762","15,578"
2020-12-24,AR,"215,307","17,545"
2020-12-31,AR,"232,343","17,036"
2021-01-07,AR,"252,497","20,154"
2021-01-14,AR,"270,210","17,713"
2021-01-21,AR,"284,251","14,041"
2021-01-28,AR,"297,251","13,000"
2021-02-04,AR,"308,237","10,986"
2021-02-11,AR,"315,649","7,412"
2021-02-18,AR,"318,684","3,035"
2021-02-25,AR,"322,163","3,479"
2021-03-04,AR,"324,704","2,541"
2021-03-11,AR,"326,554","1,850"
2021-03-18,AR,"328,245","1,691"
2021-03-25,AR,"329,426","1,181"
2021-04-01,AR,"330,508","1,082"
2021-04-08,AR,"331,620","1,112"
2021-04-15,AR,"332,917","1,297"
2021-04-22,AR,"334,172","1,255"
2021-04-29,AR,"335,430","1,258"
2021-05-06,AR,"336,929","1,499"
2021-05-13,AR,"338,211","1,282"
2021-05-20,AR,"339,600","1,389"
2021-05-27,AR,"340,866","1,266"
2021-06-03,AR,"341,914","1,048"
2021-06-10,AR,"343,342","1,428"
2021-06-17,AR,"345,005","1,663"
2021-06-24,AR,"347,194","2,189"
2021-07-01,AR,"350,451","3,257"
2021-07-08,AR,"355,241","4,790"
2021-07-15,AR,"362,562","7,321"
2021-07-22,AR,"372,178","9,616"
2021-07-29,AR,"384,951","12,773"
2021-08-05,AR,"399,884","14,933"
2021-08-12,AR,"415,809","15,925"
2021-08-19,AR,"431,371","15,562"
2021-08-26,AR,"446,196","14,825"
2021-09-02,AR,"460,849","14,653"
2021-09-09,AR,"472,741","11,892"
2021-09-16,AR,"483,070","10,329"
2021-09-23,AR,"490,943","7,873"
2021-09-30,AR,"496,836","5,893"
2021-10-07,AR,"501,743","4,907"
2021-10-14,AR,"505,931","4,188"
2021-10-21,AR,"509,315","3,384"
2021-10-28,AR,"512,399","3,084"
2021-11-04,AR,"515,309","2,910"
2021-11-11,AR,"518,824","3,515"
2021-11-18,AR,"522,943","4,119"
2021-11-25,AR,"527,052","4,109"
2021-12-02,AR,"531,748","4,696"
2021-12-09,AR,"537,203","5,455"
2021-12-16,AR,"542,245","5,042"
2021-12-23,AR,"549,396","7,151"
2021-12-30,AR,"567,589","18,193"
2022-01-06,AR,"606,923","39,334"
2022-01-13,AR,"673,062","66,139"
2022-01-20,AR,"739,493","66,431"
2022-01-27,AR,"782,756","43,263"
2022-02-03,AR,"807,279","24,523"
2022-02-10,AR,"816,763","9,484"
2022-02-17,AR,"823,110","6,347"
2022-02-24,AR,"826,578","3,468"
2022-03-03,AR,"828,357","1,779"
2022-03-10,AR,"829,586","1,229"
2022-03-17,AR,"830,448",862
2022-03-24,AR,"831,945","1,497"
2022-03-31,AR,"832,811",866
2022-04-07,AR,"833,377",566
2022-04-14,AR,"833,939",562
2022-04-21,AR,"834,554",615
2022-04-28,AR,"835,404",850
2022-05-05,AR,"836,338",934
2022-05-12,AR,"837,719","1,381"
2022-05-19,AR,"839,435","1,716"
2022-05-26,AR,"841,676","2,241"
2022-06-02,AR,"843,828","2,152"
2022-06-09,AR,"847,811","3,983"
2022-06-16,AR,"852,229","4,418"
2022-06-23,AR,"857,119","4,890"
2022-06-30,AR,"864,155","7,036"
2022-07-07,AR,"871,467","7,312"
2022-07-14,AR,"881,424","9,957"
2022-07-21,AR,"890,943","9,519"
2022-07-28,AR,"899,551","8,608"
2022-08-04,AR,"906,952","7,401"
2022-08-11,AR,"913,354","6,402"
2022-08-18,AR,"919,634","6,280"
2022-08-25,AR,"925,881","6,247"
2022-09-01,AR,"932,639","6,758"
2022-09-08,AR,"938,398","5,759"
2022-09-15,AR,"943,945","5,547"
2022-09-22,AR,"947,967","4,022"
2022-09-29,AR,"950,940","2,973"
2022-10-06,AR,"952,892","1,952"
2022-10-13,AR,"954,823","1,931"
2022-10-20,AR,"956,856","2,033"
2022-10-27,AR,"958,675","1,819"
2022-11-03,AR,"960,631","1,956"
2022-11-10,AR,"962,761","2,130"
2022-11-17,AR,"964,607","1,846"
2020-01-23,AS,0,0
2020-01-30,AS,0,0
2020-02-06,AS,0,0
2020-02-13,AS,0,0
2020-02-20,AS,0,0
2020-02-27,AS,0,0
2020-03-05,AS,0,0
2020-03-12,AS,0,0
2020-03-19,AS,0,0
2020-03-26,AS,0,0
2020-04-02,AS,0,0
2020-04-09,AS,0,0
2020-04-16,AS,0,0
2020-04-23,AS,0,0
2020-04-30,AS,0,0
2020-05-07,AS,0,0
2020-05-14,AS,0,0
2020-05-21,AS,0,0
2020-05-28,AS,0,0
2020-06-04,AS,0,0
2020-06-11,AS,0,0
2020-06-18,AS,0,0
2020-06-25,AS,0,0
2020-07-02,AS,0,0
2020-07-09,AS,0,0
2020-07-16,AS,0,0
2020-07-23,AS,0,0
2020-07-30,AS,0,0
2020-08-06,AS,0,0
2020-08-13,AS,0,0
2020-08-20,AS,0,0
2020-08-27,AS,0,0
2020-09-03,AS,0,0
2020-09-10,AS,0,0
2020-09-17,AS,0,0
2020-09-24,AS,0,0
2020-10-01,AS,0,0
2020-10-08,AS,0,0
2020-10-15,AS,0,0
2020-10-22,AS,0,0
2020-10-29,AS,0,0
2020-11-05,AS,0,0
2020-11-12,AS,0,0
2020-11-19,AS,0,0
2020-11-26,AS,0,0
2020-12-03,AS,0,0
2020-12-10,AS,0,0
2020-12-17,AS,0,0
2020-12-24,AS,0,0
2020-12-31,AS,0,0
2021-01-07,AS,0,0
2021-01-14,AS,0,0
2021-01-21,AS,0,0
2021-01-28,AS,0,0
2021-02-04,AS,0,0
2021-02-11,AS,0,0
2021-02-18,AS,0,0
2021-02-25,AS,0,0
2021-03-04,AS,0,0
2021-03-11,AS,0,0
2021-03-18,AS,0,0
2021-03-25,AS,0,0
2021-04-01,AS,0,0
2021-04-08,AS,0,0
2021-04-15,AS,0,0
2021-04-22,AS,0,0
2021-04-29,AS,0,0
2021-05-06,AS,0,0
2021-05-13,AS,0,0
2021-05-20,AS,0,0
2021-05-27,AS,0,0
2021-06-03,AS,0,0
2021-06-10,AS,0,0
2021-06-17,AS,0,0
2021-06-24,AS,0,0
2021-07-01,AS,0,0
2021-07-08,AS,0,0
2021-07-15,AS,0,0
2021-07-22,AS,0,0
2021-07-29,AS,0,0
2021-08-05,AS,0,0
2021-08-12,AS,0,0
2021-08-19,AS,0,0
2021-08-26,AS,0,0
2021-09-02,AS,0,0
2021-09-09,AS,0,0
2021-09-16,AS,0,0
2021-09-23,AS,1,1
2021-09-30,AS,1,0
2021-10-07,AS,3,2
2021-10-14,AS,3,0
2021-10-21,AS,3,0
2021-10-28,AS,4,1
2021-11-04,AS,4,0
2021-11-11,AS,4,0
2021-11-18,AS,5,1
2021-11-25,AS,5,0
2021-12-02,AS,10,5
2021-12-09,AS,10,0
2021-12-16,AS,10,0
2021-12-23,AS,11,1
2021-12-30,AS,11,0
2022-01-06,AS,11,0
2022-01-13,AS,18,7
2022-01-20,AS,18,0
2022-01-27,AS,18,0
2022-02-03,AS,22,4
2022-02-10,AS,57,35
2022-02-17,AS,57,0
2022-02-24,AS,72,15
2022-03-03,AS,146,74
2022-03-10,AS,352,206
2022-03-17,AS,779,427
2022-03-24,AS,"1,993","1,214"
2022-03-31,AS,"3,483","1,490"
2022-04-07,AS,"5,018","1,535"
2022-04-14,AS,"5,536",518
2022-04-21,AS,"5,663",127
2022-04-28,AS,"5,817",154
2022-05-05,AS,"5,873",56
2022-05-12,AS,"5,991",118
2022-05-19,AS,"6,065",74
2022-05-26,AS,"6,110",45
2022-06-02,AS,"6,192",82
2022-06-09,AS,"6,192",0
2022-06-16,AS,"6,270",78
2022-06-23,AS,"6,342",72
2022-06-30,AS,"6,414",72
2022-07-07,AS,"6,505",91
2022-07-14,AS,"6,505",0
2022-07-21,AS,"7,471",966
2022-07-28,AS,"7,471",0
2022-08-04,AS,"7,952",481
2022-08-11,AS,"8,042",90
2022-08-18,AS,"8,042",0
2022-08-25,AS,"8,168",126
2022-09-01,AS,"8,168",0
2022-09-08,AS,"8,217",49
2022-09-15,AS,"8,217",0
2022-09-22,AS,"8,244",27
2022-09-29,AS,"8,247",3
2022-10-06,AS,"8,250",3
2022-10-13,AS,"8,250",0
2022-10-20,AS,"8,251",1
2022-10-27,AS,"8,257",6
2022-11-03,AS,"8,257",0
2022-11-10,AS,"8,257",0
2022-11-17,AS,"8,262",5
2020-01-23,AZ,0,0
2020-01-30,AZ,1,1
2020-02-06,AZ,1,0
2020-02-13,AZ,1,0
2020-02-20,AZ,1,0
2020-02-27,AZ,1,0
2020-03-05,AZ,1,0
2020-03-12,AZ,9,8
2020-03-19,AZ,27,18
2020-03-26,AZ,401,374
2020-04-02,AZ,"1,413","1,012"
2020-04-09,AZ,"2,726","1,313"
2020-04-16,AZ,"3,969","1,243"
2020-04-23,AZ,"5,473","1,504"
2020-04-30,AZ,"7,209","1,736"
2020-05-07,AZ,"9,707","2,498"
2020-05-14,AZ,"12,216","2,509"
2020-05-21,AZ,"14,906","2,690"
2020-05-28,AZ,"17,319","2,413"
2020-06-04,AZ,"22,354","5,035"
2020-06-11,AZ,"29,852","7,498"
2020-06-18,AZ,"40,937","11,085"
2020-06-25,AZ,"60,190","19,253"
2020-07-02,AZ,"84,115","23,925"
2020-07-09,AZ,"108,614","24,499"
2020-07-16,AZ,"131,354","22,740"
2020-07-23,AZ,"150,618","19,264"
2020-07-30,AZ,"168,275","17,657"
2020-08-06,AZ,"182,210","13,935"
2020-08-13,AZ,"189,443","7,233"
2020-08-20,AZ,"195,560","6,117"
2020-08-27,AZ,"199,469","3,909"
2020-09-03,AZ,"202,861","3,392"
2020-09-10,AZ,"206,541","3,680"
2020-09-17,AZ,"209,907","3,366"
2020-09-24,AZ,"215,288","5,381"
2020-10-01,AZ,"218,508","3,220"
2020-10-08,AZ,"222,541","4,033"
2020-10-15,AZ,"227,637","5,096"
2020-10-22,AZ,"233,912","6,275"
2020-10-29,AZ,"241,165","7,253"
2020-11-05,AZ,"250,633","9,468"
2020-11-12,AZ,"265,163","14,530"
2020-11-19,AZ,"283,102","17,939"
2020-11-26,AZ,"310,850","27,748"
2020-12-03,AZ,"340,979","30,129"
2020-12-10,AZ,"382,601","41,622"
2020-12-17,AZ,"429,285","46,684"
2020-12-24,AZ,"473,273","43,988"
2020-12-31,AZ,"512,489","39,216"
2021-01-07,AZ,"574,680","62,191"
2021-01-14,AZ,"641,729","67,049"
2021-01-21,AZ,"690,544","48,815"
2021-01-28,AZ,"738,561","48,017"
2021-02-04,AZ,"767,379","28,818"
2021-02-11,AZ,"789,262","21,883"
2021-02-18,AZ,"801,055","11,793"
2021-02-25,AZ,"811,968","10,913"
2021-03-04,AZ,"819,816","7,848"
2021-03-11,AZ,"828,468","8,652"
2021-03-18,AZ,"833,859","5,391"
2021-03-25,AZ,"837,828","3,969"
2021-04-01,AZ,"841,807","3,979"
2021-04-08,AZ,"846,231","4,424"
2021-04-15,AZ,"851,265","5,034"
2021-04-22,AZ,"855,804","4,539"
2021-04-29,AZ,"860,772","4,968"
2021-05-06,AZ,"866,008","5,236"
2021-05-13,AZ,"870,611","4,603"
2021-05-20,AZ,"874,562","3,951"
2021-05-27,AZ,"878,312","3,750"
2021-06-03,AZ,"882,180","3,868"
2021-06-10,AZ,"885,002","2,822"
2021-06-17,AZ,"887,973","2,971"
2021-06-24,AZ,"891,025","3,052"
2021-07-01,AZ,"894,872","3,847"
2021-07-08,AZ,"898,283","3,411"
2021-07-15,AZ,"903,851","5,568"
2021-07-22,AZ,"911,462","7,611"
2021-07-29,AZ,"921,445","9,983"
2021-08-05,AZ,"935,647","14,202"
2021-08-12,AZ,"952,797","17,150"
2021-08-19,AZ,"972,925","20,128"
2021-08-26,AZ,"991,309","18,384"
2021-09-02,AZ,"1,016,663","25,354"
2021-09-09,AZ,"1,037,013","20,350"
2021-09-16,AZ,"1,055,919","18,906"
2021-09-23,AZ,"1,072,863","16,944"
2021-09-30,AZ,"1,090,839","17,976"
2021-10-07,AZ,"1,108,830","17,991"
2021-10-14,AZ,"1,124,709","15,879"
2021-10-21,AZ,"1,139,627","14,918"
2021-10-28,AZ,"1,156,731","17,104"
2021-11-04,AZ,"1,175,520","18,789"
2021-11-11,AZ,"1,199,277","23,757"
2021-11-18,AZ,"1,223,892","24,615"
2021-11-25,AZ,"1,252,248","28,356"
2021-12-02,AZ,"1,272,943","20,695"
2021-12-09,AZ,"1,301,598","28,655"
2021-12-16,AZ,"1,323,997","22,399"
2021-12-23,AZ,"1,344,183","20,186"
2021-12-30,AZ,"1,368,080","23,897"
2022-01-06,AZ,"1,419,562","51,482"
2022-01-13,AZ,"1,524,363","104,801"
2022-01-20,AZ,"1,666,191","141,828"
2022-01-27,AZ,"1,799,503","133,312"
2022-02-03,AZ,"1,886,541","87,038"
2022-02-10,AZ,"1,931,642","45,101"
2022-02-17,AZ,"1,957,085","25,443"
2022-02-24,AZ,"1,971,678","14,593"
2022-03-03,AZ,"1,976,890","5,212"
2022-03-10,AZ,"1,987,318","10,428"
2022-03-17,AZ,"1,992,471","5,153"
2022-03-24,AZ,"1,997,037","4,566"
2022-03-31,AZ,"2,007,180","10,143"
2022-04-07,AZ,"2,014,008","6,828"
2022-04-14,AZ,"2,016,729","2,721"
2022-04-21,AZ,"2,019,166","2,437"
2022-04-28,AZ,"2,021,524","2,358"
2022-05-05,AZ,"2,025,435","3,911"
2022-05-12,AZ,"2,030,925","5,490"
2022-05-19,AZ,"2,038,129","7,204"
2022-05-26,AZ,"2,049,627","11,498"
2022-06-02,AZ,"2,062,669","13,042"
2022-06-09,AZ,"2,077,346","14,677"
2022-06-16,AZ,"2,093,680","16,334"
2022-06-23,AZ,"2,109,053","15,373"
2022-06-30,AZ,"2,125,567","16,514"
2022-07-07,AZ,"2,145,765","20,198"
2022-07-14,AZ,"2,161,045","15,280"
2022-07-21,AZ,"2,179,180","18,135"
2022-07-28,AZ,"2,196,429","17,249"
2022-08-04,AZ,"2,211,463","15,034"
2022-08-11,AZ,"2,224,964","13,501"
2022-08-18,AZ,"2,237,208","12,244"
2022-08-25,AZ,"2,245,713","8,505"
2022-09-01,AZ,"2,254,337","8,624"
2022-09-08,AZ,"2,258,018","3,681"
2022-09-15,AZ,"2,264,159","6,141"
2022-09-22,AZ,"2,268,158","3,999"
2022-09-29,AZ,"2,271,560","3,402"
2022-10-06,AZ,"2,275,235","3,675"
2022-10-13,AZ,"2,277,635","2,400"
2022-10-20,AZ,"2,283,073","5,438"
2022-10-27,AZ,"2,287,886","4,813"
2022-11-03,AZ,"2,293,015","5,129"
2022-11-10,AZ,"2,300,375","7,360"
2022-11-17,AZ,"2,311,150","10,775"
2020-01-23,CA,0,0
2020-01-30,CA,2,2
2020-02-06,CA,8,6
2020-02-13,CA,16,8
2020-02-20,CA,30,14
